Row Labels,func,Sum of Confidence,Sum of Lift,Sum of Support
,transfer mechanical,0.352941176,6.322250639,0.007281553
,import solid,0.058823529,2.10741688,0.001213592
,secure solid,0.176470588,1.710726644,0.003640777
,position solid,0.176470588,1.163294118,0.003640777
magnet,transfer thermal,0.25,68.66666667,0.001213592
,import solid,0.25,8.956521739,0.001213592
,guide solid,0.25,1.980769231,0.001213592
,position solid,0.25,1.648,0.001213592
material filter,separate mixture,0.5,137.3333333,0.002427184
,store solid,0.25,103,0.001213592
,export solid,0.25,11.44444444,0.001213592
nut-bolt,secure solid,0.8,7.755294118,0.004854369
,couple solid,0.2,1.91627907,0.001213592
positioner,guide rotational,0.058823529,48.47058824,0.001213592
,guide solid,0.764705882,6.058823529,0.015776699
,guide mechanical,0.058823529,5.385620915,0.001213592
,transfer mechanical,0.117647059,2.10741688,0.002427184
reservoir,mix solid,0.1,82.4,0.001213592
,mix liquid,0.1,82.4,0.001213592
,store liquid,0.1,82.4,0.001213592
,import liquid,0.1,82.4,0.001213592
,export mixture,0.1,82.4,0.001213592
,store solid,0.1,41.2,0.001213592
,export thermal,0.1,20.6,0.001213592
,import solid,0.1,3.582608696,0.001213592
retaining clip,couple solid,0.5,4.790697674,0.001213592
,position solid,0.5,3.296,0.001213592
rivet,couple solid,1,9.581395349,0.002427184
rotational coupler,export solid,0.333333333,15.25925926,0.001213592
,import solid,0.333333333,11.94202899,0.001213592
,transfer mechanical,0.333333333,5.971014493,0.001213592
screw,couple solid,0.938461538,8.99177102,0.074029126
shaft,transfer mechanical,0.28125,5.038043478,0.01092233
,export solid,0.09375,4.291666667,0.003640777
,import solid,0.09375,3.358695652,0.003640777
,secure solid,0.21875,2.120588235,0.008495146
sled,guide solid,0.5,3.961538462,0.001213592
,position solid,0.5,3.296,0.001213592
solder,couple solid,1,9.581395349,0.007281553
spring,store mechanical,0.105263158,43.36842105,0.002427184
,supply mechanical,0.105263158,43.36842105,0.002427184
,position solid,0.473684211,3.122526316,0.01092233
,guide solid,0.210526316,1.668016194,0.004854369
sprocket,export solid,0.25,11.44444444,0.001213592
,change mechanical,0.25,9.363636364,0.001213592
,import solid,0.25,8.956521739,0.001213592
,transfer mechanical,0.25,4.47826087,0.001213592
stop,transfer control,0.076923077,10.56410256,0.001213592
,secure solid,0.538461538,5.219909502,0.008495146
,export solid,0.076923077,3.521367521,0.001213592
,import solid,0.076923077,2.755852843,0.001213592
,position solid,0.230769231,1.521230769,0.003640777
support,position solid,0.380952381,2.511238095,0.019417476
,secure solid,0.238095238,2.308123249,0.012135922
transistor,regulate electrical,0.5,82.4,0.001213592
,transfer electrical,0.5,6.754098361,0.001213592
valve,separate mixture,0.5,137.3333333,0.001213592
,stop solid,0.5,103,0.001213592
washer,guide solid,0.5,3.961538462,0.002427184
,position solid,0.5,3.296,0.002427184
